Generation,Best_Score,Average_Score,Worst_Score,Best_Length,Average_Length,Worst_Length
335,-13.100091111659916,-15.054822021985359,-27.39679357316906,4.390625,2.6536979166666668,2.0
336,-9.914425051915922,-12.039426042785454,-29.04572099247014,3.765625,2.6421354166666666,2.015625
337,-13.286287600683808,-15.697460596462118,-36.15695942036663,4.46875,2.74203125,2.015625
338,-14.521734225400667,-17.012304992290048,-26.616158606500452,4.578125,2.669791666666667,2.03125
339,-9.343055722097086,-12.0581926348161,-25.909093914333372,4.4375,2.65921875,2.0
340,-13.288692072718801,-15.17778414835883,-22.505303131656998,4.03125,2.5994270833333335,2.0
341,-12.13750629345202,-14.53083208674198,-29.44487622116218,4.203125,2.6898958333333334,2.046875
342,-13.625770227584887,-15.219635154732295,-21.56996463521014,4.40625,2.628697916666667,2.015625
343,-13.892990242948374,-15.471091331377796,-22.065718880993412,4.234375,2.80265625,2.03125
344,-13.696615008662269,-15.488001305233304,-20.320340983204698,3.90625,2.72515625,2.0
345,-10.358109009635442,-12.50628630284387,-16.131853000533198,3.390625,2.7027604166666666,2.0
346,-14.137252827531555,-15.995545418188973,-20.592656143994596,4.421875,2.7369270833333332,2.0
347,-9.473815008592464,-11.753883164419495,-18.111139990098597,3.890625,2.72484375,2.0
348,-11.89082132216944,-13.879001281962003,-19.177222480497214,3.921875,2.6876041666666666,2.046875
349,-11.991136079010547,-14.081560889201151,-20.914023583204166,4.09375,2.73171875,2.03125
350,-15.951832325512283,-17.749719047188428,-24.272817036241037,5.53125,2.76140625,2.0
351,-10.806615357546665,-13.179676951871203,-36.304419265522895,4.578125,2.721875,2.078125
352,-15.15473721742809,-17.233994739507953,-30.941426510631647,4.75,2.7334895833333333,2.0
353,-13.436858788091872,-14.964309054038416,-25.92587613910743,4.71875,2.814375,2.015625
354,-9.979993914626355,-11.518720490932965,-22.95949816038228,3.890625,2.633489583333333,2.03125
355,-14.877069146083342,-16.69506575405962,-22.94946443678385,3.484375,2.6832291666666666,2.03125
356,-11.780378705059224,-13.511712236300408,-34.36259794727919,5.875,2.6570833333333335,2.015625
357,-11.159715344979029,-12.937442408937672,-31.891864594765046,4.046875,2.6738020833333334,2.046875
358,-13.393985992978372,-14.94872383907458,-25.037702988831835,3.625,2.656458333333333,2.0
359,-12.713201506569348,-14.969959777748599,-20.867039037255324,4.140625,2.7022916666666665,2.03125
360,-10.613475004771141,-12.643239108482073,-18.38131444704866,3.875,2.6302083333333335,2.015625
361,-11.844407810635206,-13.577784268545368,-22.0456214764924,4.828125,2.659375,2.078125
362,-12.337356091962162,-14.418223359801644,-24.816579995090994,4.46875,2.6121875,2.03125
363,-13.371888479308765,-15.109932965645967,-26.720801045036332,3.5,2.6221354166666666,2.0625
364,-12.40701129334777,-14.896590715341594,-22.756923323165584,3.796875,2.640833333333333,2.046875
365,-13.483013396083669,-15.150803801120704,-28.528497540717908,4.546875,2.7335416666666665,2.046875
366,-9.607595341766084,-11.67934701915968,-24.5229495609324,4.59375,2.6808854166666665,2.0
